area_input;local_input;valor_input;tipo_input;moeda_input;dia_input;hora_input
Utensílios;SAF Botafogo 03/04;77.03;Despesa;R$;2025-07-05;22:16:00
Vestuário;Netshoes;60.02;Despesa;R$;2025-07-14;22:16:00
Refeição;Conversa Fora;103.32;Despesa;R$;2025-06-27;22:16:00
Refeição;Cantina Luís;32.95;Despesa;R$;2025-06-27;22:16:00
Transporte;Riocard MAIS;30.0;Despesa;R$;2025-06-27;22:16:00
Refeição;MULTI FRUTI PRINCIPE;41.98;Despesa;R$;2025-06-28;22:16:00
Transporte;METRO RJ;7.9;Despesa;R$;2025-06-29;22:16:00
Transporte;METRO RJ;7.9;Despesa;R$;2025-06-29;22:16:00
Refeição;AL PIATTO DORO CAFE;36.04;Despesa;R$;2025-06-29;22:16:00
Transporte;SUPERVIA;7.6;Despesa;R$;2025-06-29;22:16:00
Transporte;Riocard MAIS ;10.0;Despesa;R$;2025-06-30;22:16:00
Refeição;CANTINA DA FAMILIA;8.0;Despesa;R$;2025-06-30;22:16:00
Refeição;Boteco do Djalma;24.15;Despesa;R$;2025-06-30;22:16:00
Transporte;Riocard MAIS ;32.0;Despesa;R$;2025-07-01;22:16:00
Lavanderia;LAV 60 MINUTOS;30.0;Despesa;R$;2025-07-01;22:16:00
Refeição;AL PIATTO DORO CAFE;21.13;Despesa;R$;2025-07-01;22:16:00
Lanche;Lojas Americanas;51.88;Despesa;R$;2025-07-01;22:16:00
Refeição;AL PIATTO DORO CAFE;38.2;Despesa;R$;2025-07-02;22:16:00
Supermercado;Supermercado Princesa;42.53;Despesa;R$;2025-07-02;22:16:00
Refeição;Restaurante Relvadense;24.45;Despesa;R$;2025-07-02;22:16:00
Refeição;Restaurante Relvadense;50.61;Despesa;R$;2025-07-03;22:16:00
Refeição;Boteco do Djalma;50.61;Despesa;R$;2025-07-03;22:16:00
Transporte;MAIS MOBI;29.0;Despesa;R$;2025-07-04;22:16:00
Utensílios;CONTA CVOLTA;27.0;Despesa;R$;2025-07-04;22:16:00
Bar;Caju;76.52;Despesa;R$;2025-07-04;22:16:00
Vestuário;Luzzo;135.1;Despesa;R$;2025-07-05;22:16:00
Transporte;METRO RJ;7.9;Despesa;R$;2025-07-05;22:16:00
Vestuário;CITYCOL;61.97;Despesa;R$;2025-07-05;22:16:00
Refeição;Restaurante Mané;23.04;Despesa;R$;2025-07-05;22:16:00
Refeição;Restaurante Mané;45.2;Despesa;R$;2025-07-05;22:16:00
Refeição;Kets Lanches;25.0;Despesa;R$;2025-07-05;22:16:00
